Game,Recommended Games
Souland,"['Space Trader: Merchant Marine', 'APOX', 'Anomaly: Warzone Earth', 'Orcs Must Die! - Artifacts of Power', 'Orcs Must Die! - Lost Adventures']"
TAROTICA VOO DOO,"['The Binding of Isaac', 'Delver', 'Vox', 'Ravensword: Shadowlands', 'CONSORTIUM']"
Chronicles of Vinland,"['Westward® IV: All Aboard', 'Crazy Machines 2: Time Travel Add-On', 'Crazy Machines 2: Happy New Year DLC', 'Crazy Machines Elements DLC - Collision Course &amp; Mental Activity', 'Quantum Conundrum: The Desmond Debacle']"
Orbitality,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
Atomic Adam: Episode 1,"['Atomic Adam: Episode 1', 'Biozone', 'Luxor: 5th Passage', ""Dragon's Lair"", 'DuckTales: Remastered']"
Mirt. Tales of the Cold Land. Chapter 2,"['Comedy Quest', 'The Secret of Tremendous Corporation: DLC', 'The Soundtrack of Tremendous Corporation', 'To Burn in Memory', 'Velvet Sundown']"
Advent Rising,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
DEFCON,"['Defense Grid: The Awakening', 'Harvest: Massive Encounter', 'Mayhem Intergalactic', 'Defense Grid: Resurgence Map Pack 1', 'Star Ruler']"
The Ship: Single Player,"['The Ship: Murder Party', 'The Ship: Single Player', 'Aztaka', 'Avencast: Rise of the Mage', 'DeathSpank']"
Garry's Mod,"['The Graveyard', 'Hacker Evolution: Untold', 'Euro Truck Simulator 2 - Going East!', 'Hardcore Package Part 1 / for Hacker Evolution', 'Euro Truck Simulator 2 - Ice Cold Paint Jobs Pack']"
RACE - The WTCC Game,"['FlatOut 2™', 'FlatOut', 'Midnight Club 2', '18 Wheels of Steel: American Long Haul', 'Midnight Outlaw: 6 Hours to SunUp']"
Zen of Sudoku,"['Zen of Sudoku', 'Gumboy - Crazy Adventures™', 'RIP - Trilogy™', 'Ninja Reflex: Steamworks Edition', 'Gravitron 2']"
Gumboy - Crazy Adventures™,"['Zen of Sudoku', 'Gumboy - Crazy Adventures™', 'RIP - Trilogy™', 'Ninja Reflex: Steamworks Edition', 'Gravitron 2']"
Ghost Master®,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Vegas: Make It Big™,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Dreamfall: The Longest Journey,"['Sherlock Holmes - Nemesis', 'STAR WARS™ - Knights of the Old Republic™', 'Epic Battle Fantasy 4', 'Dysan the Shapeshifter', 'Challenge of the Five Realms: Spellbound in the World of Nhagardia']"
FlatOut 2™,"['FlatOut 2™', 'FlatOut', 'Midnight Club 2', '18 Wheels of Steel: American Long Haul', 'Midnight Outlaw: 6 Hours to SunUp']"
FlatOut,"['FlatOut 2™', 'FlatOut', 'Midnight Club 2', '18 Wheels of Steel: American Long Haul', 'Midnight Outlaw: 6 Hours to SunUp']"
Lost Planet™: Extreme Condition,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
CivCity: Rome,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Arx Fatalis,"['Rise of the Argonauts', 'Drakensang', 'Guild Wars Nightfall®', 'Guild Wars® Game of the Year Edition', 'Guild Wars Factions®']"
The Longest Journey,"['The Longest Journey', 'X-Blades', ""The Bard's Tale"", 'The Baconing', 'The Baconing DLC - Roesha – One Bad Mutha Co-op Character']"
Civilization IV®: Warlords,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Railroad Tycoon 3,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Sid Meier's Railroads!,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Railroad Tycoon II Platinum,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
RIP - Trilogy™,"['Zen of Sudoku', 'Gumboy - Crazy Adventures™', 'RIP - Trilogy™', 'Ninja Reflex: Steamworks Edition', 'Gravitron 2']"
X-COM: Terror From the Deep,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Tomb Raider: Anniversary,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
Devil May Cry® 3 Special Edition,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Sam &amp; Max 101: Culture Shock,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
Final DOOM,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Sam &amp; Max 102: Situation: Comedy,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
Ultimate Doom,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Master Levels for Doom II,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
DOOM II,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Wolfenstein 3D,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Return to Castle Wolfenstein,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
QUAKE Mission Pack 1: Scourge of Armagon,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Spear of Destiny,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
BloodRayne,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
QUAKE Mission Pack 2: Dissolution of Eternity,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
QUAKE,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Genesis Rising,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
"Warhammer® 40,000: Dawn of War® – Winter Assault","['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
BioShock™,"['S.T.A.L.K.E.R.: Clear Sky', ""The Witcher: Enhanced Edition Director's Cut"", 'SpellForce - Platinum Edition', 'Mount &amp; Blade: Warband', 'Alpha Protocol™']"
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
"Warhammer® 40,000: Dawn of War® - Dark Crusade","['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Rome: Total War™ - Collection,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Rome: Total War™ - Alexander,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Mystery Case Files: Madame Fate®,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Manhunt,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Midnight Club 2,"['FlatOut 2™', 'FlatOut', 'Midnight Club 2', '18 Wheels of Steel: American Long Haul', 'Midnight Outlaw: 6 Hours to SunUp']"
Max Payne 2: The Fall of Max Payne,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Tomb Raider: Legend,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
Max Payne,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Command &amp; Conquer: Red Alert 3,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
PuzzleQuest: Challenge of the Warlords,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Culpa Innata,"['Costume Quest', 'Costume Quest 2', 'Deep Dungeons of Doom', 'Bitcoin Clicker', 'SEGA Mega Drive and Genesis Classics']"
Prison Tycoon 3™: Lockdown,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Hunting Unlimited™ 2008,"['Ceville', ""Oddworld: Munch's Oddysee"", ""Oddworld: Stranger's Wrath HD"", 'Antisquad: Tasks in Mexico - Final. Tactics DLC', 'Antisquad: Tasks near the coast of Somalia. Tactics DLC']"
18 Wheels of Steel: American Long Haul,"['FlatOut 2™', 'FlatOut', 'Midnight Club 2', '18 Wheels of Steel: American Long Haul', 'Midnight Outlaw: 6 Hours to SunUp']"
Conflict: Denied Ops,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
ARMA: Combat Operations,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Tycoon City: New York,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Desperados 2: Cooper's Revenge,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Death to Spies,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
Act of War: High Treason,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
RollerCoaster Tycoon® 3: Platinum,"['Pacific Storm Allies', 'Children of the Nile: Alexandria', 'City Life 2008', 'Codename: Panzers - Cold War', 'Tropico Reloaded']"
Act of War: Direct Action,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Unreal 2: The Awakening,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Unreal Gold,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Ninja Reflex: Steamworks Edition,"['Zen of Sudoku', 'Gumboy - Crazy Adventures™', 'RIP - Trilogy™', 'Ninja Reflex: Steamworks Edition', 'Gravitron 2']"
Tom Clancy's Splinter Cell®,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Far Cry®,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Unreal Tournament: Game of the Year Edition,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Tom Clancy's Rainbow Six® Vegas,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Silent Hunter® III,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Virtual Villagers - The Secret City,"['Virtual Families', 'Coconut Queen', 'Rocksmith - Queen - Keep Yourself Alive', 'Rocksmith - My Chemical Romance - Planetary (GO!)', 'Rocksmith - 3 Doors Down - 3-Song Pack']"
Mystery P.I.™ - The Vegas Heist,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Luxor,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Reaxxion,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Little Farm,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
7 Wonders II,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Luxor Amun Rising,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Luxor 3,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Petz® Horsez® 2,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Luxor 2,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Rayman Raving Rabbids™,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
Silent Hunter®: Wolves of the Pacific,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
IL-2 Sturmovik: 1946,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Silent Hunter®: Wolves of the Pacific U-Boat Missions,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Bone: Out From Boneville,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
Midnight Outlaw: 6 Hours to SunUp,"['FlatOut 2™', 'FlatOut', 'Midnight Club 2', '18 Wheels of Steel: American Long Haul', 'Midnight Outlaw: 6 Hours to SunUp']"
Bone: The Great Cow Race,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
Sprint Cars Road to Knoxville,"['FlatOut 2™', 'FlatOut', 'Midnight Club 2', '18 Wheels of Steel: American Long Haul', 'Midnight Outlaw: 6 Hours to SunUp']"
Ride! Carnival Tycoon,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Mahjongg Investigations: Under Suspicion,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Dracula Origin,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
Sherlock Holmes - Nemesis,"['Sherlock Holmes - Nemesis', 'STAR WARS™ - Knights of the Old Republic™', 'Epic Battle Fantasy 4', 'Dysan the Shapeshifter', 'Challenge of the Five Realms: Spellbound in the World of Nhagardia']"
Eternity's Child,"['Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack', 'Machinarium', 'The Misadventures of P.B. Winterbottom', 'Puzzle Bots', 'Clones']"
Pacific Storm Allies,"['Pacific Storm Allies', 'Children of the Nile: Alexandria', 'City Life 2008', 'Codename: Panzers - Cold War', 'Tropico Reloaded']"
Tank Universal,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
FlatOut: Ultimate Carnage,"['FlatOut 2™', 'FlatOut', 'Midnight Club 2', '18 Wheels of Steel: American Long Haul', 'Midnight Outlaw: 6 Hours to SunUp']"
Oddworld: Abe's Exoddus®,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
Oddworld: Abe's Oddysee®,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
GTR Evolution Expansion Pack for RACE 07,"['FlatOut 2™', 'FlatOut', 'Midnight Club 2', '18 Wheels of Steel: American Long Haul', 'Midnight Outlaw: 6 Hours to SunUp']"
X-COM: Enforcer,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
X-COM: Apocalypse,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
X-COM: UFO Defense,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
S.T.A.L.K.E.R.: Clear Sky,"['S.T.A.L.K.E.R.: Clear Sky', ""The Witcher: Enhanced Edition Director's Cut"", 'SpellForce - Platinum Edition', 'Mount &amp; Blade: Warband', 'Alpha Protocol™']"
Crysis Warhead®,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Crysis,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
X-COM: Interceptor,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
The Witcher: Enhanced Edition Director's Cut,"['S.T.A.L.K.E.R.: Clear Sky', ""The Witcher: Enhanced Edition Director's Cut"", 'SpellForce - Platinum Edition', 'Mount &amp; Blade: Warband', 'Alpha Protocol™']"
Multiwinia,"['World of Goo', 'Space Giraffe', 'The Maw: Speeder Lane', 'Fortix', 'Madballs B*D*I Clan Skins']"
STCC - The Game 1 - Expansion Pack for RACE 07,"['FlatOut 2™', 'FlatOut', 'Midnight Club 2', '18 Wheels of Steel: American Long Haul', 'Midnight Outlaw: 6 Hours to SunUp']"
Children of the Nile: Alexandria,"['Pacific Storm Allies', 'Children of the Nile: Alexandria', 'City Life 2008', 'Codename: Panzers - Cold War', 'Tropico Reloaded']"
Sid Meier's Civilization IV: Colonization,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Tom Clancy's Rainbow Six® 3 Gold,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
LEGO Batman,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
City Life 2008,"['Pacific Storm Allies', 'Children of the Nile: Alexandria', 'City Life 2008', 'Codename: Panzers - Cold War', 'Tropico Reloaded']"
Hinterland,"[""King's Bounty: The Legend"", 'Freedom Force vs. the Third Reich', 'Freedom Force', 'SpellForce 2 - Anniversary Edition', 'Disciples III - Renaissance Steam Special Edition']"
Brothers in Arms: Hell's Highway™,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Gravitron 2,"['Zen of Sudoku', 'Gumboy - Crazy Adventures™', 'RIP - Trilogy™', 'Ninja Reflex: Steamworks Edition', 'Gravitron 2']"
Xpand Rally Xtreme,"['FlatOut 2™', 'FlatOut', 'Midnight Club 2', '18 Wheels of Steel: American Long Haul', 'Midnight Outlaw: 6 Hours to SunUp']"
Heroes of Might &amp; Magic V: Hammers of Fate,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Brothers in Arms: Earned in Blood™,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Heroes of Might &amp; Magic V: Tribes of the East,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
The Settlers®: Rise Of An Empire Gold Edition,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Brain Spa,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
The Sum of All Fears,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Peggle™ Nights,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
